id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,off_camera,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_body_part,pass_type,possession_team_id,team_id,player_id,pass_recipient_id,under_pressure,pass_outcome,pass_aerial_won,pass_technique,pass_through_ball,pass_cross,pass_switch,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,pass_inswinging,pass_goal_assist,counterpress,pass_deflected,pass_no_touch,pass_cut_back,pass_miscommunication,out,pass_straight,player_x,player_y,pass_end_x,pass_end_y
ca0e0071-8c23-4eee-b216-fc0a6926a386,5,1,00:00:00.285,0,0,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,John Guidetti,Center Forward,"[61.0, 40.1]",0.794644,['e095b1c9-4984-48fe-bc81-ee6f582ceae8'],266254,Daniel Wass,4.103657,2.3906636,Ground Pass,"[58.0, 42.9]",Right Foot,Kick Off,209,209,6038,6797.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,61.0,40.1,58.0,42.9
66a6dfef-b17b-4926-9edc-b509c3a9ccc6,8,1,00:00:01.119,0,1,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Daniel Wass,Right Center Midfield,"[56.8, 43.4]",2.631385,['02e9c3ed-51a0-4301-a7f0-cee94774fdbb'],266254,Jonathan Castro Otto,35.445873,-2.5590672,Ground Pass,"[27.2, 23.9]",Right Foot,Open Play,209,209,6797,6802.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,56.8,43.4,27.2,23.9
a3f0ffc5-8bfa-4100-9bc6-94d3b5f7870e,11,1,00:00:03.868,0,3,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Jonathan Castro Otto,Left Center Back,"[28.4, 25.3]",2.06535,['597afd1d-cd7f-4e3a-8bd3-32a7639c5e2c'],266254,Hugo Mallo Novegil,43.501034,1.5638999,Ground Pass,"[28.7, 68.8]",Right Foot,Open Play,209,209,6802,6805.0,False,1,False,Other,False,False,True,No shot,False,False,False,False,False,False,False,False,False,False,False,28.4,25.3,28.7,68.8
e3c49085-6572-4a56-a496-8e79a4fe7bc4,14,1,00:00:07.153,0,7,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Hugo Mallo Novegil,Right Back,"[30.7, 71.0]",2.241,['871e3a11-3f1a-40f3-b3ba-00aeae04bed8'],266254,Daniel Wass,30.69609,-0.43013248,High Pass,"[58.6, 58.2]",Right Foot,Open Play,209,209,6805,6797.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,30.7,71.0,58.6,58.2
005650a0-02fa-4688-aee0-77785748f002,17,1,00:00:09.434,0,9,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Daniel Wass,Right Center Midfield,"[58.2, 58.5]",1.767,"['5d86a9e7-fcd6-45eb-a353-3be3cc8a6a85', 'b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf']",266254,John Guidetti,17.650496,-0.13067958,High Pass,"[75.7, 56.2]",Head,Open Play,209,209,6797,6038.0,False,0,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,58.2,58.5,75.7,56.2
b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf,19,1,00:00:11.201,0,11,Pass,2,Celta Vigo,From Kick Off,False,Barcelona,Gerard Piqué Bernabéu,Right Center Back,"[44.4, 23.9]",1.0213,"['005650a0-02fa-4688-aee0-77785748f002', '7ace583b-e75b-45b3-a504-05de2bb39a2b', 'e1cce367-cbf1-4526-9f5e-1262c5f28104']",266254,Andrés Iniesta Luján,13.513327,-0.044415217,Low Pass,"[57.9, 23.3]",Head,Recovery,209,217,5213,5216.0,False,0,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,44.4,23.9,57.9,23.3
e1cce367-cbf1-4526-9f5e-1262c5f28104,21,1,00:00:12.222,0,12,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Daniel Wass,Right Center Midfield,"[62.2, 56.8]",1.41138,"['0cdd53cc-5e68-45b6-af4d-e9a119165f5a', 'b4e42e7f-0dd3-44a0-a35d-1e92c4e260cf']",266254,Hugo Mallo Novegil,15.880806,2.5081668,Low Pass,"[49.4, 66.2]",Right Foot,Recovery,209,209,6797,6805.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,62.2,56.8,49.4,66.2
eac78bdd-b1e0-482d-8477-8dbf72e8f819,25,1,00:00:14.253,0,14,Pass,2,Celta Vigo,From Kick Off,False,Celta Vigo,Hugo Mallo Novegil,Right Back,"[49.7, 63.6]",2.0425,"['5acb4f49-32f1-4a0a-b958-3b6924d2dba0', 'c9a40d95-60b5-4c8f-80a0-9230d4498981']",266254,John Guidetti,27.170755,-0.22266094,High Pass,"[76.2, 57.6]",Left Foot,Open Play,209,209,6805,6038.0,True,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,49.7,63.6,76.2,57.6
9c50ad90-08ea-4e6e-86eb-509d0952ed2f,29,1,00:00:17.369,0,17,Pass,3,Barcelona,Regular Play,False,Barcelona,Sergio Busquets i Burgos,Center Defensive Midfield,"[50.8, 21.0]",0.6684,['2f5c7f8b-8c97-4a68-ae13-ec5b328613ef'],266254,Javier Alejandro Mascherano,8.868484,3.0172377,Low Pass,"[42.0, 22.1]",Right Foot,Recovery,217,217,5203,5506.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,50.8,21.0,42.0,22.1
e5c199a6-6ca6-4e3e-90b7-00f883075591,31,1,00:00:18.037,0,18,Pass,3,Barcelona,Regular Play,False,Barcelona,Javier Alejandro Mascherano,Left Center Back,"[41.7, 22.1]",2.0382,['6ee0a687-d04c-4d03-9bb5-21857879f55b'],266254,Gerard Piqué Bernabéu,19.173159,2.3893926,High Pass,"[27.7, 35.2]",Right Foot,Open Play,217,217,5506,5213.0,False,1,False,Other,False,False,False,No shot,False,False,False,False,False,False,False,False,False,False,False,41.7,22.1,27.7,35.2
