id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_type,pass_body_part,possession_team_id,team_id,player_id,pass_recipient_id,under_pressure,pass_outcome,pass_cross,pass_cut_back,off_camera,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_backheel,pass_goal_assist,pass_switch,counterpress,pass_deflected,pass_miscommunication,player_x,player_y,pass_end_x,pass_end_y
432a2c8e-6155-4340-8e74-853d86aaf8c4,40,1,00:01:22.369,1,22,Pass,4,Real Madrid,From Free Kick,Real Madrid,Toni Kroos,Left Center Midfield,"[49.0, 6.0]",1.040907,['22ad35cc-fef0-44bb-841a-ff330d14391d'],18243,Marcelo Vieira da Silva Júnior,14.866069,-0.34302393,Ground Pass,"[63.0, 1.0]",,Right Foot,220,220,5574,5552.0,,1,,,,,,,,,,,,,49.0,6.0,63.0,1.0
2071632b-a6ab-4016-89b6-4b47ec501305,44,1,00:01:24.301,1,24,Pass,4,Real Madrid,From Free Kick,Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,"[63.0, 1.0]",2.843541,['20aab794-0da2-4a74-9e9c-1ccc7efb7315'],18243,Cristiano Ronaldo dos Santos Aveiro,36.40055,0.27829966,High Pass,"[98.0, 11.0]",,Left Foot,220,220,5552,5207.0,,1,,,,,,,,,,,,,63.0,1.0,98.0,11.0
396d086a-ff0d-4197-9a09-186a2bdc3fa1,51,1,00:01:29.325,1,29,Pass,4,Real Madrid,From Free Kick,Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,"[116.0, 1.0]",1.3842,"['5378531c-e188-4757-aca1-6f5c4b1d5f8d', 'd1e011fe-106d-4485-9889-22b94cedff2e']",18243,Karim Benzema,29.427877,1.7415315,Ground Pass,"[111.0, 30.0]",,Left Foot,220,220,5207,19677.0,,0,True,True,,,,,,,,,,,116.0,1.0,111.0,30.0
7a5aa4ae-614f-4768-87bb-8449aa20fa23,55,1,00:01:38.239,1,38,Pass,5,Real Madrid,From Throw In,Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,"[77.0, 1.0]",1.694312,['acb5f39a-7448-4dbb-95f8-7ca03be045b9'],18243,Sergio Ramos García,14.866069,2.7985687,High Pass,"[63.0, 6.0]",Throw-in,,220,220,5552,5201.0,,1,,,,,,,,,,,,,77.0,1.0,63.0,6.0
fe583e81-a71b-44d8-9e30-9236b7b7b033,58,1,00:01:41.024,1,41,Pass,5,Real Madrid,From Throw In,Real Madrid,Sergio Ramos García,Left Center Back,"[63.0, 8.0]",2.140508,['119c6d0a-fb84-4341-a7cf-42111e3488c4'],18243,Kléper Laveran Lima Ferreira,36.619667,2.1815224,Ground Pass,"[42.0, 38.0]",,Right Foot,220,220,5201,20016.0,,1,,,,,,,,,,,,,63.0,8.0,42.0,38.0
98bc7734-bb4b-4dd1-abea-0a17b5cc503e,62,1,00:01:45.491,1,45,Pass,5,Real Madrid,From Throw In,Real Madrid,Kléper Laveran Lima Ferreira,Right Center Back,"[44.0, 37.0]",2.823912,"['497cbda1-f3b2-472c-9b2b-8a6c9e107743', 'be802ca7-9e71-4326-837e-06f75234ea59']",18243,Cristiano Ronaldo dos Santos Aveiro,53.814495,-0.7328151,High Pass,"[84.0, 1.0]",,Right Foot,220,220,20016,5207.0,True,0,,,,,,,,,,,,,44.0,37.0,84.0,1.0
d55eb8c3-767c-4d8c-b46f-cbbc7799485e,64,1,00:02:02.324,2,2,Pass,6,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[41.0, 80.0]",2.0064,['40ec476d-932d-4e6e-94e6-98a3381c5e49'],18243,,18.027756,-0.055498507,High Pass,"[59.0, 79.0]",Throw-in,,212,212,6375,,,0,,,True,,,,,,,,,,41.0,80.0,59.0,79.0
40ec476d-932d-4e6e-94e6-98a3381c5e49,65,1,00:02:04.330,2,4,Pass,6,Atlético Madrid,From Throw In,Real Madrid,Marcelo Vieira da Silva Júnior,Left Back,"[62.0, 2.0]",0.7,['d55eb8c3-767c-4d8c-b46f-cbbc7799485e'],18243,,3.1622777,-2.819842,High Pass,"[59.0, 1.0]",Recovery,Head,212,220,5552,,,0,,,,,,,,,,,,,62.0,2.0,59.0,1.0
4c3aeead-c9cb-4ed6-8cba-b445987c61bd,66,1,00:02:16.630,2,16,Pass,7,Atlético Madrid,From Throw In,Atlético Madrid,Juan Francisco Torres Belén,Right Back,"[61.0, 80.0]",1.53,['7762f61e-2742-4f54-a555-0b344fe12c4a'],18243,Saúl Ñíguez Esclapez,16.03122,-0.06241881,High Pass,"[77.0, 79.0]",Throw-in,,212,212,6375,6381.0,,1,,,,,,,,,,,,,61.0,80.0,77.0,79.0
7be93489-ac5a-4ee8-8dfa-19a70c651e6f,68,1,00:02:18.160,2,18,Pass,7,Atlético Madrid,From Throw In,Atlético Madrid,Saúl Ñíguez Esclapez,Right Midfield,"[77.0, 79.0]",1.4419,['cf76efbb-c83a-4877-b524-5654ada75664'],18243,Fernando José Torres Sanz,10.049875,-0.09966865,High Pass,"[87.0, 78.0]",,Head,212,212,6381,6382.0,,1,,,,,,,,,,,,,77.0,79.0,87.0,78.0
